ML Model,Accuracy,AUC,Precision,Recall,F1,MCC,Training Accuracy,Testing Accuracy
logistic_regression,0.9824561403508771,0.9953703703703703,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9623015873015873,0.989010989010989,0.9824561403508771
decision_tree,0.9122807017543859,0.9156746031746031,0.9558823529411765,0.9027777777777778,0.9285714285714286,0.8174119974927639,1.0,0.9122807017543859
knn,0.956140350877193,0.9788359788359788,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9054466190452621,0.9736263736263736,0.956140350877193
naive_bayes,0.9385964912280702,0.9877645502645502,0.9452054794520548,0.9583333333333334,0.9517241379310345,0.8675534786006366,0.9406593406593406,0.9385964912280702
random_forest,0.956140350877193,0.9937169312169312,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9054466190452621,1.0,0.956140350877193
